Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"販売とマーケティング","ワークスペース","","","販売注文の処理と照会","[""mainmenu"",""SalesAndMarketing"",""Workspaces""]","","","販売注文の処理と照会"
"販売とマーケティング","ワークスペース","","","販売返品の処理","[""mainmenu"",""SalesAndMarketing"",""Workspaces""]","","","販売返品の処理"
"販売とマーケティング","顧客","","","すべての顧客","[""mainmenu"",""SalesAndMarketing"",""Customers""]","","","すべての顧客"
"販売とマーケティング","顧客","","","与信限度額の再計算","[""mainmenu"",""SalesAndMarketing"",""Customers""]","","","与信限度額の再計算"
"販売とマーケティング","リレーションシップ","連絡先","","すべての連絡先","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Contacts""]","","すべての連絡先"
"販売とマーケティング","リレーションシップ","連絡先","","個人用連絡先","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Contacts""]","","個人用連絡先"
"販売とマーケティング","リレーションシップ","見込顧客","","すべての見込顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Prospects""]","","すべての見込顧客"
"販売とマーケティング","リレーションシップ","見込顧客","","自分の見込顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Prospects""]","","自分の見込顧客"
"販売とマーケティング","リレーションシップ","見込顧客","","変換済見込顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Prospects""]","","変換済見込顧客"
"販売とマーケティング","リレーションシップ","見込顧客","","インポートされた見込顧客リスト","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Prospects""]","","インポートされた見込顧客リスト"
"販売とマーケティング","リレーションシップ","潜在顧客","","すべての潜在顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Leads""]","","すべての潜在顧客"
"販売とマーケティング","リレーションシップ","潜在顧客","","個人用潜在顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Leads""]","","個人用潜在顧客"
"販売とマーケティング","リレーションシップ","潜在顧客","","有効な潜在顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Leads""]","","有効な潜在顧客"
"販売とマーケティング","リレーションシップ","潜在顧客","","個人用の有効な潜在顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Leads""]","","個人用の有効な潜在顧客"
"販売とマーケティング","リレーションシップ","潜在顧客","","新しい潜在顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Leads""]","","新しい潜在顧客"
"販売とマーケティング","リレーションシップ","潜在顧客","","個人用の新しい潜在顧客","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Leads""]","","個人用の新しい潜在顧客"
"販売とマーケティング","リレーションシップ","営業案件","","すべての営業案件","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Opportunities""]","","すべての営業案件"
"販売とマーケティング","リレーションシップ","営業案件","","個人用営業案件","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Opportunities""]","","個人用営業案件"
"販売とマーケティング","リレーションシップ","営業案件","","有効な営業案件","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Opportunities""]","","有効な営業案件"
"販売とマーケティング","リレーションシップ","営業案件","","個人用の有効な営業案件","[""mainmenu"",""SalesAndMarketing"",""Relationships""]","[""mainmenu"",""SalesAndMarketing"",""Relationships"",""Opportunities""]","","個人用の有効な営業案件"
