Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"固定資産","ワークスペース","","","固定資産管理","[""mainmenu"",""FixedAssets"",""Workspaces""]","","","固定資産管理"
"固定資産","固定資産","","","固定資産","[""mainmenu"",""FixedAssets"",""FixedAssets""]","","","固定資産"
"固定資産","固定資産","","","取得されていない固定資産","[""mainmenu"",""FixedAssets"",""FixedAssets""]","","","取得されていない固定資産"
"固定資産","固定資産","","","取得された固定資産","[""mainmenu"",""FixedAssets"",""FixedAssets""]","","","取得された固定資産"
"固定資産","固定資産","","","売却または除却された固定資産","[""mainmenu"",""FixedAssets"",""FixedAssets""]","","","売却または除却された固定資産"
"固定資産","仕訳入力","","","固定資産仕訳帳","[""mainmenu"",""FixedAssets"",""JournalEntries""]","","","固定資産仕訳帳"
"固定資産","仕訳入力","","","取得提案を作成します","[""mainmenu"",""FixedAssets"",""JournalEntries""]","","","取得提案を作成します"
"固定資産","仕訳入力","","","償却提案を作成します","[""mainmenu"",""FixedAssets"",""JournalEntries""]","","","償却提案を作成します"
"固定資産","仕訳入力","","","固定資産の在庫仕訳帳","[""mainmenu"",""FixedAssets"",""JournalEntries""]","","","固定資産の在庫仕訳帳"
"固定資産","予算","","","固定資産予算仕訳帳","[""mainmenu"",""FixedAssets"",""Budget""]","","","固定資産予算仕訳帳"
"固定資産","予算","","","予算減価償却案を作成する","[""mainmenu"",""FixedAssets"",""Budget""]","","","予算減価償却案を作成する"
"固定資産","予算","","","固定資産予算登録項目","[""mainmenu"",""FixedAssets"",""Budget""]","","","固定資産予算登録項目"
"固定資産","予算","","","固定資産の未来価値レポート","[""mainmenu"",""FixedAssets"",""Budget""]","","","固定資産の未来価値レポート"
"固定資産","予算","","","固定資産予算の削除","[""mainmenu"",""FixedAssets"",""Budget""]","","","固定資産予算の削除"
"固定資産","照会およびレポート","","","固定資産トランザクション","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","","","固定資産トランザクション"
"固定資産","照会およびレポート","","","固定資産の一覧レポート","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","","","固定資産の一覧レポート"
"固定資産","照会およびレポート","","","固定資産一覧 (GER)","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","","","固定資産一覧 (GER)"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産ロール フォワード","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産ロール フォワード"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産の取得","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産の取得"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産取得 (GER)","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産取得 (GER)"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産の処分","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産の処分"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産への四半期の適用","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産への四半期の適用"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産基準","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産基準"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産トランザクション","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産トランザクション"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産トランザクション (GER)","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産トランザクション (GER)"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産の移動","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産の移動"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産移動 (GER)","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産移動 (GER)"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産の残高","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産の残高"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産帳簿比較","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産帳簿比較"
"固定資産","照会およびレポート","トランザクション レポート","","固定資産帳簿比較 (GER)","[""mainmenu"",""FixedAssets"",""InquiriesAndReports""]","[""mainmenu"",""FixedAssets"",""InquiriesAndReports"",""TransactionReports""]","","固定資産帳簿比較 (GER)"
