Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"予算作成","ワークスペース","","","元帳予算および予測","[""mainmenu"",""Budgeting"",""Workspaces""]","","","元帳予算および予測"
"予算作成","ワークスペース","","","予算計画","[""mainmenu"",""Budgeting"",""Workspaces""]","","","予算計画"
"予算作成","ワークスペース","","","予算登録エントリ","[""mainmenu"",""Budgeting"",""Workspaces""]","","","予算登録エントリ"
"予算作成","ワークスペース","","","ドラフト予算登録エントリ","[""mainmenu"",""Budgeting"",""Workspaces""]","","","ドラフト予算登録エントリ"
"予算作成","ワークスペース","","","完了した予算登録エントリ","[""mainmenu"",""Budgeting"",""Workspaces""]","","","完了した予算登録エントリ"
"予算作成","ワークスペース","","","一般予算引当","[""mainmenu"",""Budgeting"",""Workspaces""]","","","一般予算引当"
"予算作成","ワークスペース","","","予算計画","[""mainmenu"",""Budgeting"",""Workspaces""]","","","予算計画"
"予算作成","ワークスペース","","","予測職位","[""mainmenu"",""Budgeting"",""Workspaces""]","","","予測職位"
"予算作成","ワークスペース","","","確約","[""mainmenu"",""Budgeting"",""Workspaces""]","","","確約"
"予算作成","照会およびレポート","基本予算作成","","実績対予算","[""mainmenu"",""Budgeting"",""InquiriesReports""]","[""mainmenu"",""Budgeting"",""InquiriesReports"",""InquiriesReportsBasicBudgeting""]","","実績対予算"
"予算作成","照会およびレポート","基本予算作成","","期間別の実績対予算","[""mainmenu"",""Budgeting"",""InquiriesReports""]","[""mainmenu"",""Budgeting"",""InquiriesReports"",""InquiriesReportsBasicBudgeting""]","","期間別の実績対予算"
"予算作成","照会およびレポート","基本予算作成","","分析コード セット別予算登録エントリ","[""mainmenu"",""Budgeting"",""InquiriesReports""]","[""mainmenu"",""Budgeting"",""InquiriesReports"",""InquiriesReportsBasicBudgeting""]","","分析コード セット別予算登録エントリ"
"予算作成","照会およびレポート","基本予算作成","","予算勘定項目","[""mainmenu"",""Budgeting"",""InquiriesReports""]","[""mainmenu"",""Budgeting"",""InquiriesReports"",""InquiriesReportsBasicBudgeting""]","","予算勘定項目"
"予算作成","照会およびレポート","基本予算作成","","財務諸表","[""mainmenu"",""Budgeting"",""InquiriesReports""]","[""mainmenu"",""Budgeting"",""InquiriesReports"",""InquiriesReportsBasicBudgeting""]","","財務諸表"
"予算作成","照会およびレポート","予算計画","","分析コード セット別予算計画","[""mainmenu"",""Budgeting"",""InquiriesReports""]","[""mainmenu"",""Budgeting"",""InquiriesReports"",""InquiriesReportsBudgetPlanning""]","","分析コード セット別予算計画"
"予算作成","照会およびレポート","予算計画","","予算計画ライン","[""mainmenu"",""Budgeting"",""InquiriesReports""]","[""mainmenu"",""Budgeting"",""InquiriesReports"",""InquiriesReportsBudgetPlanning""]","","予算計画ライン"
"予算作成","照会およびレポート","予算計画","","財務諸表","[""mainmenu"",""Budgeting"",""InquiriesReports""]","[""mainmenu"",""Budgeting"",""InquiriesReports"",""InquiriesReportsBudgetPlanning""]","","財務諸表"
